index	claim	evidence	label
0	1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.	Among the patients with cancer, stage was classified as early (stage I) vs all other (stages II-IV). MAIN OUTCOME MEASURES Trends in colonoscopy and sigmoidoscopy use among Medicare beneficiaries without cancer were assessed using multivariate Poisson regression. CONCLUSIONS Expansion of Medicare reimbursement to cover colon cancer screening was associated with an increased use of colonoscopy for Medicare beneficiaries, and for those who were diagnosed with colon cancer, an increased probability of being diagnosed at an early stage. DESIGN, SETTING, AND PARTICIPANTS Patients in the Surveillance, Epidemiology, and End Results Medicare linked database who were 67 years of age and older and had a primary diagnosis of colon cancer during 1992-2002, as well as a group of Medicare beneficiaries who resided in Surveillance, Epidemiology, and End Results areas but who were not diagnosed with cancer.    OBJECTIVE To determine whether the Medicare reimbursement policy changes were associated with an increase in either colonoscopy use or early stage colon cancer diagnosis.    During the study period, 44,924 eligible patients were diagnosed with colorectal cancer.	NOT_ENOUGH_INFO
1	10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.	However, to reduce the incidence even further, greater strides must be made in reducing prenatal smoke exposure and implementing other recommended infant care practices. Despite declines in prevalence during the past two decades, sudden infant death syndrome (SIDS) continues to be the leading cause of death for infants aged between 1 month and 1 year in developed countries. Continued research is needed to identify the pathophysiological basis of SIDS. Campaigns for risk reduction have helped to reduce SIDS incidence by 50-90%. Behavioural risk factors identified in epidemiological studies include prone and side positions for infant sleep, smoke exposure, soft bedding and sleep surfaces, and overheating.	NOT_ENOUGH_INFO
2	4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.	ER stress and mutant WFS1 inhibit complex formation and activation of AC8, reducing cAMP synthesis and insulin secretion.	NOT_ENOUGH_INFO
3	40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.	RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group. CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.   	SUPPORTS
4	50% of patients exposed to radiation have activated markers of mesenchymal stem cells.	On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs. These unidentified SMC-derived cells exhibit phenotypes of other cell lineages, including macrophages and mesenchymal stem cells (MSCs). Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types. SMC-specific conditional knockout of Krüppel-like factor 4 (Klf4) resulted in reduced numbers of SMC-derived MSC- and macrophage-like cells, a marked reduction in lesion size, and increases in multiple indices of plaque stability, including an increase in fibrous cap thickness as compared to wild-type controls.	NOT_ENOUGH_INFO
5	61% of colorectal cancer patients are diagnosed with regional or distant metastases.	OBJECTIVE To determine whether the Medicare reimbursement policy changes were associated with an increase in either colonoscopy use or early stage colon cancer diagnosis.   	NOT_ENOUGH_INFO
6	7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.	The expression of crh-1 declines with age and differs in the longevity mutants, and CREB expression and activity correlate with memory performance.	NOT_ENOUGH_INFO
7	90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.	MAIN OUTCOMES AND MEASURES The primary end point was confirmed objective response rate (best overall response of complete response or partial response) in patients with measurable disease at baseline per independent central review. CONCLUSIONS AND RELEVANCE Among patients with advanced melanoma, pembrolizumab administration was associated with an overall objective response rate of 33%, 12-month progression-free survival rate of 35%, and median overall survival of 23 months; grade 3 or 4 treatment-related AEs occurred in 14%.    There were no drug-related deaths.    RESULTS Among the 655 patients (median [range] age, 61 [18-94] years; 405 [62%] men), 581 had measurable disease at baseline. Treatment-related serious AEs were reported in 59 patients (9%).	NOT_ENOUGH_INFO
8	90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.	Behavioural risk factors identified in epidemiological studies include prone and side positions for infant sleep, smoke exposure, soft bedding and sleep surfaces, and overheating. Despite declines in prevalence during the past two decades, sudden infant death syndrome (SIDS) continues to be the leading cause of death for infants aged between 1 month and 1 year in developed countries.	NOT_ENOUGH_INFO
9	A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.	EVIDENCE ACQUISITION Comprehensive search of scientific publications including MEDLINE via both OVID and PubMED for relevant studies and articles with a cutoff date of July 2006, using the search terms long-term travel and malaria prevention, long-term malaria chemoprophylaxis, and insect repellent and malaria. Consensus guidelines are needed for prevention of malaria in long-term travelers.    Additional references were obtained from searching the bibliographies of the selected articles, from dissertations, and from the proceedings of relevant conferences on travel medicine. Current guidelines for malaria prevention primarily address prevention of Plasmodium falciparum infections in short-term travelers.    Recommendations for prevention of malaria in long-term travelers must be individualized. Vivax malaria causes significant illness in travelers, but relapses of vivax malaria are not prevented with the current first-line chemoprophylaxis regimens.	NOT_ENOUGH_INFO
