	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
0	0	BERT-large	BADGE	10	0.333	0.167	
1	1	BERT-large	ALPS	10	0.340	0.209	
2	2	DeBERTa-large	bertKM	10	0.340	0.239	
3	3	DeBERTa-large	Density	10	0.324	0.168	
4	4	RoBERTa-large	bertKM	10	0.309	0.180	
5	5	DeBERTa-large	BADGE	10	0.356	0.240	
6	6	DeBERTa-base	Density	10	0.269	0.199	
7	7	BERT-large	bertKM	10	0.384	0.310	
8	8	DeBERTa-large	ALPS	10	0.396	0.321	
9	9	DeBERTa-base	ALPS	10	0.316	0.240	
10	10	DeBERTa-base	BADGE	10	0.302	0.238	
11	11	RoBERTa-large	Entropy	10	0.322	0.185	
12	12	BERT-large	Density	10	0.340	0.201	
13	13	DeBERTa-base	bertKM	10	0.289	0.209	
14	14	RoBERTa-base	ALPS	10	0.389	0.384	
15	15	DeBERTa-base	Entropy	10	0.282	0.213	
16	16	BERT-base	bertKM	10	0.318	0.249	
17	17	RoBERTa-large	Density	10	0.256	0.182	
18	18	DeBERTa-large	Entropy	10	0.333	0.189	
19	19	RoBERTa-base	Entropy	10	0.369	0.297	
20	20	RoBERTa-base	bertKM	10	0.378	0.374	
21	21	RoBERTa-base	Density	10	0.367	0.365	
22	22	BERT-base	Entropy	10	0.300	0.240	
23	23	RoBERTa-large	BADGE	10	0.302	0.224	
24	24	BERT-base	ALPS	10	0.296	0.265	
25	25	BERT-base	Density	10	0.322	0.235	
26	26	BERT-base	BADGE	10	0.311	0.262	
27	27	RoBERTa-large	ALPS	10	0.378	0.286	
28	28	BERT-large	Entropy	10	0.344	0.212	
29	29	RoBERTa-base	BADGE	10	0.369	0.364	
30	30	RoBERTa-large	Entropy	20	0.293	0.203	
31	31	RoBERTa-large	bertKM	20	0.316	0.238	
32	32	BERT-large	bertKM	20	0.371	0.290	
33	33	BERT-large	BADGE	20	0.338	0.180	
34	34	RoBERTa-base	Density	20	0.327	0.206	
35	35	RoBERTa-large	ALPS	20	0.327	0.178	
36	36	RoBERTa-base	bertKM	20	0.313	0.286	
37	37	RoBERTa-large	Density	20	0.276	0.178	
38	38	BERT-large	Density	20	0.333	0.167	
39	39	DeBERTa-base	ALPS	20	0.329	0.191	
40	40	RoBERTa-large	BADGE	20	0.318	0.242	
41	41	DeBERTa-large	BADGE	20	0.364	0.260	
42	42	DeBERTa-large	Entropy	20	0.369	0.248	
43	43	BERT-base	ALPS	20	0.322	0.168	
44	44	BERT-base	Density	20	0.331	0.167	
45	45	DeBERTa-base	Entropy	20	0.322	0.256	
46	46	RoBERTa-base	Entropy	20	0.444	0.415	
47	47	BERT-base	bertKM	20	0.331	0.195	
48	48	DeBERTa-base	BADGE	20	0.331	0.234	
49	49	BERT-base	BADGE	20	0.309	0.192	
50	50	BERT-base	Entropy	20	0.307	0.201	
51	51	DeBERTa-base	bertKM	20	0.320	0.182	
52	52	RoBERTa-base	BADGE	20	0.369	0.334	
53	53	DeBERTa-large	Density	20	0.331	0.167	
54	54	BERT-large	ALPS	20	0.342	0.192	
55	55	DeBERTa-base	Density	20	0.316	0.171	
56	56	BERT-large	Entropy	20	0.349	0.205	
57	57	DeBERTa-large	ALPS	20	0.391	0.323	
58	58	DeBERTa-large	bertKM	20	0.369	0.279	
59	59	RoBERTa-base	ALPS	20	0.324	0.226	
60	60	BERT-base	ALPS	30	0.322	0.172	
61	61	BERT-base	Entropy	30	0.333	0.187	
62	62	BERT-large	bertKM	30	0.404	0.323	
63	63	BERT-large	Density	30	0.340	0.191	
64	64	BERT-base	Density	30	0.333	0.167	
65	65	RoBERTa-base	bertKM	30	0.322	0.215	
66	66	DeBERTa-large	BADGE	30	0.356	0.223	
67	67	BERT-base	bertKM	30	0.331	0.188	
68	68	RoBERTa-base	BADGE	30	0.342	0.277	
69	69	BERT-large	Entropy	30	0.340	0.188	
70	70	BERT-large	ALPS	30	0.344	0.211	
71	71	RoBERTa-large	BADGE	30	0.349	0.224	
72	72	DeBERTa-large	bertKM	30	0.429	0.387	
73	73	BERT-large	BADGE	30	0.333	0.171	
74	74	BERT-base	BADGE	30	0.336	0.214	
75	75	RoBERTa-large	Density	30	0.320	0.189	
76	76	DeBERTa-base	bertKM	30	0.309	0.183	
77	77	DeBERTa-large	Density	30	0.333	0.167	
78	78	RoBERTa-base	Entropy	30	0.393	0.348	
79	79	RoBERTa-large	bertKM	30	0.362	0.290	
80	80	RoBERTa-base	Density	30	0.333	0.178	
81	81	RoBERTa-large	Entropy	30	0.316	0.221	
82	82	DeBERTa-base	BADGE	30	0.320	0.172	
83	83	RoBERTa-large	ALPS	30	0.342	0.213	
84	84	DeBERTa-base	Density	30	0.320	0.168	
85	85	DeBERTa-large	ALPS	30	0.364	0.274	
86	86	DeBERTa-base	Entropy	30	0.324	0.217	
87	87	DeBERTa-large	Entropy	30	0.342	0.196	
88	88	DeBERTa-base	ALPS	30	0.342	0.221	
89	89	RoBERTa-base	ALPS	30	0.333	0.252	
90	90	DeBERTa-large	ALPS	40	0.407	0.338	
91	91	RoBERTa-base	Density	40	0.329	0.165	
92	92	RoBERTa-base	ALPS	40	0.340	0.247	
93	93	RoBERTa-large	BADGE	40	0.333	0.185	
94	94	BERT-large	Entropy	40	0.342	0.195	
95	95	BERT-large	bertKM	40	0.416	0.335	
96	96	BERT-base	ALPS	40	0.331	0.185	
97	97	BERT-base	BADGE	40	0.344	0.238	
98	98	BERT-base	Entropy	40	0.333	0.171	
99	99	DeBERTa-large	BADGE	40	0.387	0.296	
100	100	RoBERTa-large	ALPS	40	0.407	0.322	
101	101	RoBERTa-base	BADGE	40	0.369	0.291	
102	102	BERT-large	BADGE	40	0.387	0.299	
103	103	BERT-base	bertKM	40	0.333	0.167	
104	104	BERT-large	ALPS	40	0.376	0.297	
105	105	DeBERTa-base	Density	40	0.331	0.169	
106	106	DeBERTa-large	Density	40	0.333	0.167	
107	107	BERT-base	Density	40	0.333	0.167	
108	108	BERT-large	Density	40	0.336	0.175	
109	109	RoBERTa-large	bertKM	40	0.342	0.251	
110	110	DeBERTa-large	bertKM	40	0.473	0.443	
111	111	DeBERTa-large	Entropy	40	0.344	0.197	
112	112	RoBERTa-large	Entropy	40	0.342	0.271	
113	113	DeBERTa-base	BADGE	40	0.344	0.206	
114	114	DeBERTa-base	bertKM	40	0.324	0.184	
