	Unnamed: 0	Model	Strategy	Instance	Acc	F1
0	0	BERT-large	BADGE	10	0.333	0.167
1	1	BERT-large	ALPS	10	0.331	0.174
2	2	DeBERTa-large	bertKM	10	0.333	0.167
3	3	DeBERTa-large	Density	10	0.333	0.167
4	4	RoBERTa-large	bertKM	10	0.336	0.173
5	5	DeBERTa-large	BADGE	10	0.333	0.167
6	6	DeBERTa-base	Density	10	0.333	0.175
7	7	BERT-large	bertKM	10	0.333	0.167
8	8	DeBERTa-large	ALPS	10	0.333	0.167
9	9	DeBERTa-base	ALPS	10	0.329	0.175
10	10	DeBERTa-base	BADGE	10	0.333	0.179
11	11	RoBERTa-large	Entropy	10	0.333	0.182
12	12	BERT-large	Density	10	0.333	0.167
13	13	DeBERTa-base	bertKM	10	0.329	0.182
14	14	RoBERTa-base	ALPS	10	0.329	0.208
15	15	DeBERTa-base	Entropy	10	0.327	0.184
16	16	BERT-base	bertKM	10	0.333	0.174
17	17	RoBERTa-large	Density	10	0.336	0.173
18	18	DeBERTa-large	Entropy	10	0.333	0.167
19	19	RoBERTa-base	Entropy	10	0.331	0.230
20	20	RoBERTa-base	bertKM	10	0.342	0.204
21	21	RoBERTa-base	Density	10	0.336	0.180
22	22	BERT-base	Entropy	10	0.384	0.284
23	23	RoBERTa-large	BADGE	10	0.333	0.172
24	24	BERT-base	ALPS	10	0.331	0.170
25	25	BERT-base	Density	10	0.338	0.187
26	26	BERT-base	BADGE	10	0.333	0.174
27	27	RoBERTa-large	ALPS	10	0.336	0.173
28	28	BERT-large	Entropy	10	0.338	0.183
29	29	RoBERTa-base	BADGE	10	0.333	0.217
30	30	RoBERTa-large	Entropy	20	0.333	0.167
31	31	RoBERTa-large	bertKM	20	0.333	0.167
32	32	BERT-large	bertKM	20	0.333	0.167
33	33	BERT-large	BADGE	20	0.333	0.167
34	34	RoBERTa-base	Density	20	0.333	0.167
35	35	RoBERTa-large	ALPS	20	0.333	0.168
36	36	RoBERTa-base	bertKM	20	0.336	0.172
37	37	RoBERTa-large	Density	20	0.333	0.167
38	38	BERT-large	Density	20	0.333	0.167
39	39	DeBERTa-base	ALPS	20	0.333	0.167
40	40	RoBERTa-large	BADGE	20	0.336	0.173
41	41	DeBERTa-large	BADGE	20	0.333	0.167
42	42	DeBERTa-large	Entropy	20	0.333	0.167
43	43	BERT-base	ALPS	20	0.333	0.167
44	44	BERT-base	Density	20	0.333	0.167
45	45	DeBERTa-base	Entropy	20	0.333	0.167
46	46	RoBERTa-base	Entropy	20	0.338	0.176
47	47	BERT-base	bertKM	20	0.333	0.167
48	48	DeBERTa-base	BADGE	20	0.333	0.167
49	49	BERT-base	BADGE	20	0.333	0.167
50	50	BERT-base	Entropy	20	0.333	0.167
51	51	DeBERTa-base	bertKM	20	0.333	0.167
52	52	RoBERTa-base	BADGE	20	0.340	0.185
53	53	DeBERTa-large	Density	20	0.333	0.167
54	54	BERT-large	ALPS	20	0.333	0.167
55	55	DeBERTa-base	Density	20	0.333	0.167
56	56	BERT-large	Entropy	20	0.333	0.167
57	57	DeBERTa-large	ALPS	20	0.333	0.167
58	58	DeBERTa-large	bertKM	20	0.333	0.167
59	59	RoBERTa-base	ALPS	20	0.338	0.180
60	60	BERT-base	ALPS	30	0.333	0.167
61	61	BERT-base	Entropy	30	0.333	0.167
62	62	BERT-large	bertKM	30	0.333	0.167
63	63	BERT-large	Density	30	0.333	0.167
64	64	BERT-base	Density	30	0.333	0.167
65	65	RoBERTa-base	bertKM	30	0.336	0.172
66	66	DeBERTa-large	BADGE	30	0.333	0.167
67	67	BERT-base	bertKM	30	0.333	0.167
68	68	RoBERTa-base	BADGE	30	0.333	0.171
69	69	BERT-large	Entropy	30	0.333	0.167
70	70	BERT-large	ALPS	30	0.333	0.167
71	71	RoBERTa-large	BADGE	30	0.329	0.185
72	72	DeBERTa-large	bertKM	30	0.333	0.167
73	73	BERT-large	BADGE	30	0.333	0.167
74	74	BERT-base	BADGE	30	0.333	0.167
75	75	RoBERTa-large	Density	30	0.333	0.167
76	76	DeBERTa-base	bertKM	30	0.333	0.167
77	77	DeBERTa-large	Density	30	0.333	0.167
78	78	RoBERTa-base	Entropy	30	0.336	0.176
79	79	RoBERTa-large	bertKM	30	0.333	0.167
80	80	RoBERTa-base	Density	30	0.333	0.167
81	81	RoBERTa-large	Entropy	30	0.333	0.167
82	82	DeBERTa-base	BADGE	30	0.333	0.167
83	83	RoBERTa-large	ALPS	30	0.333	0.168
84	84	DeBERTa-base	Density	30	0.333	0.167
85	85	DeBERTa-large	ALPS	30	0.333	0.167
86	86	DeBERTa-base	Entropy	30	0.333	0.167
87	87	DeBERTa-large	Entropy	30	0.333	0.167
88	88	DeBERTa-base	ALPS	30	0.333	0.171
89	89	RoBERTa-base	ALPS	30	0.347	0.198
90	90	DeBERTa-large	ALPS	40	0.333	0.167
91	91	RoBERTa-base	Density	40	0.333	0.167
92	92	RoBERTa-base	ALPS	40	0.349	0.211
93	93	RoBERTa-large	BADGE	40	0.333	0.167
94	94	BERT-large	Entropy	40	0.333	0.167
95	95	BERT-large	bertKM	40	0.333	0.167
96	96	BERT-base	ALPS	40	0.333	0.167
97	97	BERT-base	BADGE	40	0.333	0.167
98	98	BERT-base	Entropy	40	0.333	0.167
99	99	DeBERTa-large	BADGE	40	0.333	0.167
100	100	RoBERTa-large	ALPS	40	0.333	0.169
101	101	RoBERTa-base	BADGE	40	0.351	0.203
102	102	BERT-large	BADGE	40	0.333	0.167
103	103	BERT-base	bertKM	40	0.333	0.167
104	104	BERT-large	ALPS	40	0.333	0.167
105	105	DeBERTa-base	Density	40	0.333	0.167
106	106	DeBERTa-large	Density	40	0.333	0.167
107	107	BERT-base	Density	40	0.333	0.167
108	108	BERT-large	Density	40	0.333	0.167
109	109	RoBERTa-large	bertKM	40	0.336	0.176
110	110	DeBERTa-large	bertKM	40	0.333	0.167
111	111	DeBERTa-large	Entropy	40	0.338	0.176
112	112	RoBERTa-large	Entropy	40	0.333	0.167
113	113	DeBERTa-base	BADGE	40	0.333	0.167
114	114	DeBERTa-base	bertKM	40	0.333	0.167
115	115	DeBERTa-base	ALPS	40	0.333	0.167
116	116	DeBERTa-base	Entropy	40	0.333	0.167
117	117	RoBERTa-base	bertKM	40	0.344	0.200
118	118	RoBERTa-large	Density	40	0.333	0.167
119	119	RoBERTa-base	Entropy	40	0.333	0.167
120	120	DeBERTa-base	bertKM	50	0.333	0.167
121	121	BERT-base	Density	50	0.333	0.167
122	122	DeBERTa-base	BADGE	50	0.333	0.167
123	123	BERT-large	Entropy	50	0.333	0.167
124	124	BERT-large	bertKM	50	0.333	0.167
125	125	DeBERTa-large	BADGE	50	0.333	0.167
126	126	DeBERTa-base	Entropy	50	0.333	0.167
127	127	RoBERTa-large	bertKM	50	0.333	0.171
128	128	DeBERTa-base	ALPS	50	0.333	0.167
129	129	BERT-base	Entropy	50	0.333	0.167
130	130	RoBERTa-base	BADGE	50	0.333	0.167
131	131	BERT-base	BADGE	50	0.333	0.167
132	132	RoBERTa-large	BADGE	50	0.336	0.190
133	133	RoBERTa-base	Entropy	50	0.342	0.190
134	134	BERT-large	ALPS	50	0.333	0.167
135	135	RoBERTa-base	ALPS	50	0.347	0.210
136	136	RoBERTa-large	Entropy	50	0.333	0.167
137	137	RoBERTa-large	Density	50	0.333	0.167
138	138	BERT-base	bertKM	50	0.333	0.167
139	139	DeBERTa-large	bertKM	50	0.333	0.167
140	140	RoBERTa-large	ALPS	50	0.333	0.168
141	141	DeBERTa-large	Density	50	0.333	0.167
142	142	BERT-large	BADGE	50	0.333	0.167
143	143	RoBERTa-base	bertKM	50	0.349	0.205
144	144	BERT-large	Density	50	0.333	0.167
145	145	DeBERTa-large	ALPS	50	0.333	0.167
146	146	RoBERTa-base	Density	50	0.333	0.167
147	147	BERT-base	ALPS	50	0.333	0.167
148	148	DeBERTa-large	Entropy	50	0.373	0.247
149	149	DeBERTa-base	Density	50	0.333	0.167
150	150	BERT-base	BADGE	60	0.333	0.167
151	151	BERT-base	Density	60	0.333	0.167
152	152	DeBERTa-large	ALPS	60	0.333	0.167
153	153	RoBERTa-base	ALPS	60	0.356	0.230
154	154	RoBERTa-base	Entropy	60	0.373	0.253
155	155	RoBERTa-large	ALPS	60	0.333	0.168
156	156	RoBERTa-large	Entropy	60	0.333	0.167
157	157	RoBERTa-large	bertKM	60	0.338	0.176
158	158	RoBERTa-large	Density	60	0.333	0.167
159	159	RoBERTa-large	BADGE	60	0.336	0.172
160	160	BERT-base	bertKM	60	0.333	0.167
161	161	DeBERTa-large	Entropy	60	0.484	0.397
162	162	DeBERTa-large	BADGE	60	0.333	0.167
163	163	DeBERTa-large	Density	60	0.333	0.167
164	164	DeBERTa-large	bertKM	60	0.347	0.194
165	165	RoBERTa-base	bertKM	60	0.351	0.220
166	166	BERT-large	BADGE	60	0.333	0.167
167	167	BERT-large	Density	60	0.333	0.167
168	168	BERT-large	bertKM	60	0.333	0.167
169	169	RoBERTa-base	Density	60	0.333	0.167
170	170	DeBERTa-base	bertKM	60	0.333	0.167
171	171	BERT-large	ALPS	60	0.333	0.167
172	172	DeBERTa-base	Density	60	0.333	0.167
173	173	RoBERTa-base	BADGE	60	0.333	0.167
174	174	DeBERTa-base	BADGE	60	0.333	0.167
175	175	BERT-base	ALPS	60	0.333	0.167
176	176	BERT-large	Entropy	60	0.336	0.172
177	177	BERT-base	Entropy	60	0.333	0.167
178	178	DeBERTa-base	ALPS	60	0.333	0.167
179	179	DeBERTa-base	Entropy	60	0.333	0.167
180	180	BERT-large	BADGE	70	0.333	0.167
181	181	RoBERTa-large	Density	70	0.333	0.167
182	182	DeBERTa-large	bertKM	70	0.340	0.181
183	183	RoBERTa-large	bertKM	70	0.333	0.167
184	184	BERT-large	Entropy	70	0.333	0.167
185	185	BERT-base	Entropy	70	0.333	0.167
186	186	BERT-large	bertKM	70	0.333	0.167
187	187	RoBERTa-large	ALPS	70	0.333	0.168
188	188	DeBERTa-large	ALPS	70	0.333	0.167
189	189	RoBERTa-base	bertKM	70	0.376	0.257
190	190	RoBERTa-base	Density	70	0.333	0.167
191	191	DeBERTa-large	Density	70	0.333	0.167
192	192	DeBERTa-base	BADGE	70	0.333	0.167
193	193	DeBERTa-large	BADGE	70	0.342	0.185
194	194	DeBERTa-base	ALPS	70	0.333	0.167
195	195	DeBERTa-base	Entropy	70	0.333	0.167
196	196	BERT-base	Density	70	0.333	0.167
197	197	BERT-large	Density	70	0.333	0.167
198	198	BERT-base	ALPS	70	0.333	0.167
199	199	RoBERTa-large	Entropy	70	0.342	0.186
200	200	BERT-large	ALPS	70	0.333	0.167
201	201	BERT-base	bertKM	70	0.333	0.167
202	202	DeBERTa-base	bertKM	70	0.333	0.167
203	203	RoBERTa-base	BADGE	70	0.371	0.241
204	204	DeBERTa-base	Density	70	0.333	0.167
205	205	RoBERTa-base	Entropy	70	0.382	0.265
206	206	DeBERTa-large	Entropy	70	0.400	0.296
207	207	RoBERTa-large	BADGE	70	0.342	0.197
208	208	BERT-base	BADGE	70	0.333	0.167
209	209	RoBERTa-base	ALPS	70	0.433	0.339
210	210	BERT-large	ALPS	80	0.331	0.170
211	211	BERT-large	Density	80	0.333	0.167
212	212	DeBERTa-base	Entropy	80	0.333	0.167
213	213	RoBERTa-base	Entropy	80	0.449	0.356
214	214	DeBERTa-large	Density	80	0.333	0.167
215	215	DeBERTa-base	Density	80	0.333	0.167
216	216	DeBERTa-base	bertKM	80	0.333	0.167
217	217	RoBERTa-base	Density	80	0.333	0.167
218	218	DeBERTa-large	BADGE	80	0.333	0.167
219	219	DeBERTa-base	ALPS	80	0.333	0.167
220	220	RoBERTa-base	bertKM	80	0.407	0.304
221	221	RoBERTa-large	bertKM	80	0.340	0.188
222	222	DeBERTa-large	bertKM	80	0.336	0.176
223	223	DeBERTa-base	BADGE	80	0.333	0.167
224	224	BERT-large	Entropy	80	0.333	0.167
225	225	BERT-base	BADGE	80	0.333	0.167
226	226	BERT-large	BADGE	80	0.333	0.167
227	227	DeBERTa-large	Entropy	80	0.402	0.297
228	228	BERT-large	bertKM	80	0.336	0.171
229	229	RoBERTa-base	BADGE	80	0.347	0.194
230	230	BERT-base	Entropy	80	0.333	0.167
231	231	BERT-base	Density	80	0.333	0.167
232	232	BERT-base	bertKM	80	0.333	0.167
233	233	RoBERTa-large	Entropy	80	0.336	0.171
234	234	DeBERTa-large	ALPS	80	0.342	0.186
235	235	RoBERTa-large	Density	80	0.333	0.167
236	236	RoBERTa-base	ALPS	80	0.351	0.217
237	237	RoBERTa-large	ALPS	80	0.338	0.177
238	238	RoBERTa-large	BADGE	80	0.338	0.178
239	239	BERT-base	ALPS	80	0.333	0.167
240	240	DeBERTa-large	bertKM	90	0.378	0.250
241	241	DeBERTa-base	bertKM	90	0.333	0.167
242	242	DeBERTa-base	Density	90	0.333	0.167
243	243	BERT-base	bertKM	90	0.333	0.167
244	244	RoBERTa-base	Density	90	0.333	0.167
245	245	BERT-base	ALPS	90	0.333	0.167
246	246	RoBERTa-base	ALPS	90	0.340	0.182
247	247	DeBERTa-base	BADGE	90	0.333	0.167
248	248	BERT-base	BADGE	90	0.333	0.167
249	249	DeBERTa-base	ALPS	90	0.333	0.167
250	250	RoBERTa-base	BADGE	90	0.344	0.190
251	251	BERT-base	Density	90	0.333	0.167
252	252	BERT-base	Entropy	90	0.333	0.167
253	253	DeBERTa-base	Entropy	90	0.333	0.167
254	254	DeBERTa-large	BADGE	90	0.336	0.172
255	255	BERT-large	bertKM	90	0.336	0.171
256	256	RoBERTa-base	Entropy	90	0.400	0.288
257	257	RoBERTa-large	BADGE	90	0.338	0.176
258	258	DeBERTa-large	Entropy	90	0.440	0.362
259	259	DeBERTa-large	Density	90	0.333	0.167
260	260	BERT-large	Density	90	0.333	0.167
261	261	BERT-large	BADGE	90	0.338	0.176
262	262	RoBERTa-large	ALPS	90	0.336	0.182
263	263	BERT-large	Entropy	90	0.336	0.171
264	264	RoBERTa-base	bertKM	90	0.371	0.248
265	265	RoBERTa-large	Density	90	0.333	0.167
266	266	RoBERTa-large	bertKM	90	0.336	0.172
267	267	RoBERTa-large	Entropy	90	0.336	0.171
268	268	BERT-large	ALPS	90	0.333	0.167
269	269	DeBERTa-large	ALPS	90	0.333	0.167
270	270	RoBERTa-base	ALPS	100	0.342	0.186
271	271	RoBERTa-base	CAL	100	0.338	0.177
272	272	RoBERTa-base	CAL	100	0.333	0.167
273	273	RoBERTa-base	Entropy	100	0.356	0.211
274	274	RoBERTa-base	CAL	100	0.347	0.198
275	275	RoBERTa-base	CAL	100	0.342	0.186
276	276	RoBERTa-base	Density	100	0.333	0.167
277	277	RoBERTa-base	CAL	100	0.333	0.167
278	278	RoBERTa-base	BADGE	100	0.340	0.181
279	279	RoBERTa-base	CAL	100	0.349	0.199
280	280	RoBERTa-base	bertKM	100	0.336	0.172
281	281	RoBERTa-base	CAL	100	0.358	0.226
282	282	RoBERTa-large	CAL	100	0.340	0.181
283	283	RoBERTa-base	CAL	100	0.344	0.194
284	284	BERT-large	Density	100	0.333	0.167
285	285	BERT-large	CAL	100	0.333	0.167
286	286	BERT-large	CAL	100	0.333	0.167
287	287	BERT-large	BADGE	100	0.333	0.167
288	288	BERT-large	CAL	100	0.333	0.167
289	289	BERT-large	bertKM	100	0.336	0.171
290	290	BERT-large	CAL	100	0.333	0.167
291	291	BERT-large	ALPS	100	0.331	0.174
292	292	BERT-large	Entropy	100	0.336	0.172
293	293	BERT-large	CAL	100	0.333	0.167
294	294	BERT-large	CAL	100	0.333	0.167
295	295	BERT-large	CAL	100	0.336	0.172
296	296	BERT-large	CAL	100	0.338	0.176
297	297	DeBERTa-base	CAL	100	0.333	0.167
298	298	DeBERTa-base	CAL	100	0.336	0.171
299	299	DeBERTa-base	Density	100	0.333	0.167
300	300	DeBERTa-base	CAL	100	0.333	0.167
301	301	DeBERTa-base	CAL	100	0.333	0.167
302	302	DeBERTa-base	BADGE	100	0.333	0.167
303	303	DeBERTa-base	CAL	100	0.333	0.167
304	304	DeBERTa-base	bertKM	100	0.333	0.167
305	305	DeBERTa-base	CAL	100	0.333	0.167
306	306	DeBERTa-base	ALPS	100	0.333	0.167
307	307	DeBERTa-base	Entropy	100	0.333	0.167
308	308	DeBERTa-base	CAL	100	0.333	0.167
309	309	DeBERTa-base	CAL	100	0.333	0.167
310	310	DeBERTa-base	CAL	100	0.333	0.167
311	311	BERT-large	CAL	100	0.333	0.167
312	312	BERT-large	CAL	100	0.333	0.168
313	313	BERT-base	CAL	100	0.333	0.167
314	314	BERT-base	CAL	100	0.333	0.167
315	315	RoBERTa-base	CAL	100	0.356	0.224
316	316	RoBERTa-large	CAL	100	0.333	0.167
317	317	RoBERTa-large	CAL	100	0.340	0.181
318	318	RoBERTa-large	Density	100	0.331	0.166
319	319	RoBERTa-large	CAL	100	0.333	0.167
320	320	RoBERTa-large	CAL	100	0.333	0.167
321	321	RoBERTa-large	BADGE	100	0.336	0.172
322	322	RoBERTa-large	CAL	100	0.333	0.171
323	323	RoBERTa-large	bertKM	100	0.333	0.167
324	324	RoBERTa-large	CAL	100	0.333	0.168
325	325	RoBERTa-large	ALPS	100	0.333	0.168
326	326	RoBERTa-large	Entropy	100	0.338	0.176
327	327	RoBERTa-large	CAL	100	0.333	0.167
328	328	RoBERTa-base	CAL	100	0.333	0.167
329	329	RoBERTa-large	CAL	100	0.331	0.170
