	Unnamed: 0	Model	Strategy	Instance	Acc	F1	Unnamed: 0.1
0	0	BERT-large	BADGE	10	0.324	0.168	
1	1	BERT-large	ALPS	10	0.336	0.191	
2	2	DeBERTa-large	bertKM	10	0.511	0.481	
3	3	DeBERTa-large	Density	10	0.336	0.173	
4	4	RoBERTa-large	bertKM	10	0.309	0.184	
5	5	DeBERTa-large	BADGE	10	0.527	0.422	
6	6	DeBERTa-base	Density	10	0.329	0.253	
7	7	BERT-large	bertKM	10	0.324	0.178	
8	8	DeBERTa-large	ALPS	10	0.331	0.230	
9	9	DeBERTa-base	ALPS	10	0.356	0.275	
10	10	DeBERTa-base	BADGE	10	0.316	0.257	
11	11	RoBERTa-large	Entropy	10	0.269	0.199	
12	12	BERT-large	Density	10	0.331	0.166	
13	13	DeBERTa-base	bertKM	10	0.358	0.233	
14	14	RoBERTa-base	ALPS	10	0.344	0.206	
15	15	DeBERTa-base	Entropy	10	0.331	0.173	
16	16	BERT-base	bertKM	10	0.398	0.394	
17	17	RoBERTa-large	Density	10	0.336	0.181	
18	18	DeBERTa-large	Entropy	10	0.331	0.166	
19	19	RoBERTa-base	Entropy	10	0.387	0.378	
20	20	RoBERTa-base	bertKM	10	0.380	0.348	
21	21	RoBERTa-base	Density	10	0.344	0.264	
22	22	BERT-base	Entropy	10	0.369	0.349	
23	23	RoBERTa-large	BADGE	10	0.216	0.201	
24	24	BERT-base	ALPS	10	0.298	0.238	
25	25	BERT-base	Density	10	0.376	0.266	
26	26	BERT-base	BADGE	10	0.444	0.353	
27	27	RoBERTa-large	ALPS	10	0.260	0.208	
28	28	BERT-large	Entropy	10	0.364	0.254	
29	29	RoBERTa-base	BADGE	10	0.396	0.308	
30	30	RoBERTa-large	Entropy	20	0.322	0.198	
31	31	RoBERTa-large	bertKM	20	0.380	0.325	
32	32	BERT-large	bertKM	20	0.358	0.265	
33	33	BERT-large	BADGE	20	0.373	0.312	
34	34	RoBERTa-base	Density	20	0.384	0.329	
35	35	RoBERTa-large	ALPS	20	0.304	0.253	
36	36	RoBERTa-base	bertKM	20	0.398	0.329	
37	37	RoBERTa-large	Density	20	0.336	0.193	
38	38	BERT-large	Density	20	0.333	0.167	
39	39	DeBERTa-base	ALPS	20	0.364	0.275	
40	40	RoBERTa-large	BADGE	20	0.293	0.226	
41	41	DeBERTa-large	BADGE	20	0.538	0.438	
42	42	DeBERTa-large	Entropy	20	0.509	0.425	
43	43	BERT-base	ALPS	20	0.351	0.262	
44	44	BERT-base	Density	20	0.364	0.269	
45	45	DeBERTa-base	Entropy	20	0.349	0.207	
46	46	RoBERTa-base	Entropy	20	0.371	0.336	
47	47	BERT-base	bertKM	20	0.429	0.391	
48	48	DeBERTa-base	BADGE	20	0.384	0.364	
49	49	BERT-base	BADGE	20	0.393	0.303	
50	50	BERT-base	Entropy	20	0.409	0.342	
51	51	DeBERTa-base	bertKM	20	0.382	0.278	
52	52	RoBERTa-base	BADGE	20	0.336	0.265	
53	53	DeBERTa-large	Density	20	0.380	0.266	
54	54	BERT-large	ALPS	20	0.331	0.168	
55	55	DeBERTa-base	Density	20	0.342	0.269	
56	56	BERT-large	Entropy	20	0.402	0.321	
57	57	DeBERTa-large	ALPS	20	0.424	0.375	
58	58	DeBERTa-large	bertKM	20	0.513	0.475	
59	59	RoBERTa-base	ALPS	20	0.342	0.247	
60	60	BERT-base	ALPS	30	0.373	0.285	
61	61	BERT-base	Entropy	30	0.431	0.355	
62	62	BERT-large	bertKM	30	0.371	0.296	
63	63	BERT-large	Density	30	0.351	0.234	
64	64	BERT-base	Density	30	0.362	0.237	
65	65	RoBERTa-base	bertKM	30	0.358	0.302	
66	66	DeBERTa-large	BADGE	30	0.542	0.450	
67	67	BERT-base	bertKM	30	0.389	0.331	
68	68	RoBERTa-base	BADGE	30	0.380	0.313	
69	69	BERT-large	Entropy	30	0.389	0.294	
70	70	BERT-large	ALPS	30	0.336	0.181	
71	71	RoBERTa-large	BADGE	30	0.278	0.206	
72	72	DeBERTa-large	bertKM	30	0.571	0.536	
73	73	BERT-large	BADGE	30	0.367	0.271	
74	74	BERT-base	BADGE	30	0.456	0.386	
75	75	RoBERTa-large	Density	30	0.342	0.218	
76	76	DeBERTa-base	bertKM	30	0.413	0.357	
77	77	DeBERTa-large	Density	30	0.336	0.171	
78	78	RoBERTa-base	Entropy	30	0.387	0.332	
79	79	RoBERTa-large	bertKM	30	0.324	0.233	
80	80	RoBERTa-base	Density	30	0.369	0.313	
81	81	RoBERTa-large	Entropy	30	0.331	0.187	
82	82	DeBERTa-base	BADGE	30	0.391	0.376	
83	83	RoBERTa-large	ALPS	30	0.311	0.268	
84	84	DeBERTa-base	Density	30	0.364	0.270	
85	85	DeBERTa-large	ALPS	30	0.527	0.497	
86	86	DeBERTa-base	Entropy	30	0.371	0.247	
87	87	DeBERTa-large	Entropy	30	0.571	0.558	
88	88	DeBERTa-base	ALPS	30	0.380	0.284	
89	89	RoBERTa-base	ALPS	30	0.356	0.261	
90	90	DeBERTa-large	ALPS	40	0.604	0.600	
91	91	RoBERTa-base	Density	40	0.380	0.269	
92	92	RoBERTa-base	ALPS	40	0.393	0.333	
93	93	RoBERTa-large	BADGE	40	0.413	0.420	
94	94	BERT-large	Entropy	40	0.364	0.266	
95	95	BERT-large	bertKM	40	0.384	0.309	
96	96	BERT-base	ALPS	40	0.378	0.278	
97	97	BERT-base	BADGE	40	0.447	0.363	
98	98	BERT-base	Entropy	40	0.396	0.309	
99	99	DeBERTa-large	BADGE	40	0.589	0.543	
100	100	RoBERTa-large	ALPS	40	0.382	0.324	
101	101	RoBERTa-base	BADGE	40	0.380	0.300	
102	102	BERT-large	BADGE	40	0.384	0.303	
103	103	BERT-base	bertKM	40	0.447	0.402	
104	104	BERT-large	ALPS	40	0.384	0.289	
105	105	DeBERTa-base	Density	40	0.393	0.306	
106	106	DeBERTa-large	Density	40	0.393	0.298	
107	107	BERT-base	Density	40	0.362	0.232	
108	108	BERT-large	Density	40	0.389	0.311	
109	109	RoBERTa-large	bertKM	40	0.480	0.465	
110	110	DeBERTa-large	bertKM	40	0.544	0.521	
111	111	DeBERTa-large	Entropy	40	0.627	0.623	
112	112	RoBERTa-large	Entropy	40	0.333	0.188	
113	113	DeBERTa-base	BADGE	40	0.393	0.342	
114	114	DeBERTa-base	bertKM	40	0.422	0.355	
115	115	DeBERTa-base	ALPS	40	0.380	0.271	
116	116	DeBERTa-base	Entropy	40	0.382	0.269	
117	117	RoBERTa-base	bertKM	40	0.420	0.411	
118	118	RoBERTa-large	Density	40	0.367	0.268	
119	119	RoBERTa-base	Entropy	40	0.382	0.289	
120	120	DeBERTa-base	bertKM	50	0.480	0.451	
121	121	BERT-base	Density	50	0.369	0.237	
122	122	DeBERTa-base	BADGE	50	0.438	0.382	
123	123	BERT-large	Entropy	50	0.467	0.383	
124	124	BERT-large	bertKM	50	0.409	0.328	
125	125	DeBERTa-large	BADGE	50	0.669	0.658	
126	126	DeBERTa-base	Entropy	50	0.387	0.269	
127	127	RoBERTa-large	bertKM	50	0.458	0.462	
128	128	DeBERTa-base	ALPS	50	0.404	0.315	
129	129	BERT-base	Entropy	50	0.353	0.229	
130	130	RoBERTa-base	BADGE	50	0.396	0.314	
131	131	BERT-base	BADGE	50	0.453	0.370	
132	132	RoBERTa-large	BADGE	50	0.298	0.223	
133	133	RoBERTa-base	Entropy	50	0.402	0.343	
134	134	BERT-large	ALPS	50	0.402	0.311	
135	135	RoBERTa-base	ALPS	50	0.398	0.354	
136	136	RoBERTa-large	Entropy	50	0.424	0.334	
137	137	RoBERTa-large	Density	50	0.338	0.208	
138	138	BERT-base	bertKM	50	0.467	0.417	
139	139	DeBERTa-large	bertKM	50	0.602	0.591	
140	140	RoBERTa-large	ALPS	50	0.458	0.451	
141	141	DeBERTa-large	Density	50	0.364	0.227	
142	142	BERT-large	BADGE	50	0.418	0.330	
143	143	RoBERTa-base	bertKM	50	0.462	0.458	
144	144	BERT-large	Density	50	0.393	0.314	
145	145	DeBERTa-large	ALPS	50	0.627	0.620	
146	146	RoBERTa-base	Density	50	0.416	0.327	
147	147	BERT-base	ALPS	50	0.369	0.255	
148	148	DeBERTa-large	Entropy	50	0.589	0.575	
149	149	DeBERTa-base	Density	50	0.373	0.275	
150	150	BERT-base	BADGE	60	0.464	0.380	
151	151	BERT-base	Density	60	0.407	0.311	
152	152	DeBERTa-large	ALPS	60	0.662	0.658	
153	153	RoBERTa-base	ALPS	60	0.424	0.376	
154	154	RoBERTa-base	Entropy	60	0.391	0.320	
155	155	RoBERTa-large	ALPS	60	0.411	0.374	
156	156	RoBERTa-large	Entropy	60	0.342	0.259	
157	157	RoBERTa-large	bertKM	60	0.460	0.415	
158	158	RoBERTa-large	Density	60	0.351	0.234	
159	159	RoBERTa-large	BADGE	60	0.336	0.234	
160	160	BERT-base	bertKM	60	0.453	0.396	
161	161	DeBERTa-large	Entropy	60	0.618	0.578	
162	162	DeBERTa-large	BADGE	60	0.709	0.712	
163	163	DeBERTa-large	Density	60	0.449	0.356	
164	164	DeBERTa-large	bertKM	60	0.638	0.632	
165	165	RoBERTa-base	bertKM	60	0.489	0.489	
166	166	BERT-large	BADGE	60	0.404	0.309	
167	167	BERT-large	Density	60	0.400	0.317	
168	168	BERT-large	bertKM	60	0.418	0.336	
169	169	RoBERTa-base	Density	60	0.393	0.324	
170	170	DeBERTa-base	bertKM	60	0.511	0.494	
171	171	BERT-large	ALPS	60	0.347	0.213	
172	172	DeBERTa-base	Density	60	0.353	0.228	
173	173	RoBERTa-base	BADGE	60	0.429	0.364	
174	174	DeBERTa-base	BADGE	60	0.433	0.390	
175	175	BERT-base	ALPS	60	0.393	0.301	
176	176	BERT-large	Entropy	60	0.438	0.405	
177	177	BERT-base	Entropy	60	0.380	0.270	
178	178	DeBERTa-base	ALPS	60	0.387	0.306	
179	179	DeBERTa-base	Entropy	60	0.404	0.311	
180	180	BERT-large	BADGE	70	0.449	0.377	
181	181	RoBERTa-large	Density	70	0.336	0.190	
182	182	DeBERTa-large	bertKM	70	0.669	0.665	
183	183	RoBERTa-large	bertKM	70	0.538	0.525	
184	184	BERT-large	Entropy	70	0.513	0.482	
185	185	BERT-base	Entropy	70	0.420	0.334	
186	186	BERT-large	bertKM	70	0.429	0.348	
187	187	RoBERTa-large	ALPS	70	0.411	0.362	
188	188	DeBERTa-large	ALPS	70	0.696	0.693	
189	189	RoBERTa-base	bertKM	70	0.471	0.455	
190	190	RoBERTa-base	Density	70	0.396	0.294	
191	191	DeBERTa-large	Density	70	0.460	0.367	
192	192	DeBERTa-base	BADGE	70	0.502	0.497	
193	193	DeBERTa-large	BADGE	70	0.709	0.711	
194	194	DeBERTa-base	ALPS	70	0.431	0.373	
195	195	DeBERTa-base	Entropy	70	0.409	0.320	
196	196	BERT-base	Density	70	0.436	0.345	
197	197	BERT-large	Density	70	0.396	0.308	
198	198	BERT-base	ALPS	70	0.387	0.287	
199	199	RoBERTa-large	Entropy	70	0.391	0.280	
200	200	BERT-large	ALPS	70	0.400	0.300	
201	201	BERT-base	bertKM	70	0.471	0.429	
202	202	DeBERTa-base	bertKM	70	0.478	0.440	
203	203	RoBERTa-base	BADGE	70	0.429	0.405	
204	204	DeBERTa-base	Density	70	0.396	0.288	
205	205	RoBERTa-base	Entropy	70	0.462	0.464	
206	206	DeBERTa-large	Entropy	70	0.713	0.714	
207	207	RoBERTa-large	BADGE	70	0.356	0.217	
208	208	BERT-base	BADGE	70	0.458	0.374	
209	209	RoBERTa-base	ALPS	70	0.404	0.330	
210	210	BERT-large	ALPS	80	0.409	0.326	
211	211	BERT-large	Density	80	0.396	0.300	
212	212	DeBERTa-base	Entropy	80	0.413	0.328	
213	213	RoBERTa-base	Entropy	80	0.520	0.508	
214	214	DeBERTa-large	Density	80	0.513	0.414	
215	215	DeBERTa-base	Density	80	0.429	0.326	
216	216	DeBERTa-base	bertKM	80	0.536	0.519	
217	217	RoBERTa-base	Density	80	0.418	0.327	
218	218	DeBERTa-large	BADGE	80	0.713	0.715	
219	219	DeBERTa-base	ALPS	80	0.451	0.405	
220	220	RoBERTa-base	bertKM	80	0.467	0.456	
221	221	RoBERTa-large	bertKM	80	0.480	0.437	
222	222	DeBERTa-large	bertKM	80	0.700	0.696	
223	223	DeBERTa-base	BADGE	80	0.522	0.517	
224	224	BERT-large	Entropy	80	0.542	0.535	
225	225	BERT-base	BADGE	80	0.442	0.358	
226	226	BERT-large	BADGE	80	0.456	0.373	
227	227	DeBERTa-large	Entropy	80	0.722	0.724	
228	228	BERT-large	bertKM	80	0.413	0.324	
229	229	RoBERTa-base	BADGE	80	0.464	0.445	
230	230	BERT-base	Entropy	80	0.411	0.320	
231	231	BERT-base	Density	80	0.449	0.360	
232	232	BERT-base	bertKM	80	0.458	0.397	
233	233	RoBERTa-large	Entropy	80	0.433	0.347	
234	234	DeBERTa-large	ALPS	80	0.689	0.686	
235	235	RoBERTa-large	Density	80	0.360	0.236	
